ts,pluv_deltaMM
1640217600000000000,0.0
1640304000000000000,0.0
1640390400000000000,0.0
1640476800000000000,10.799999999999997
1640563200000000000,0.0
1640649600000000000,0.0
1640736000000000000,0.0
1640822400000000000,0.0
1640908800000000000,0.0
1640995200000000000,0.0
1641081600000000000,0.0
1641168000000000000,0.0
1641254400000000000,0.0
1641340800000000000,9.200000000000001
1641427200000000000,0.0
1641513600000000000,0.0
1641600000000000000,0.0
1641686400000000000,0.0
1641772800000000000,0.0
1641859200000000000,0.0
1641945600000000000,0.0
1642032000000000000,0.0
1642118400000000000,0.0
1642204800000000000,0.0
1642291200000000000,0.0
1642377600000000000,0.0
1642464000000000000,0.0
1642550400000000000,0.0
1642636800000000000,0.0
1642723200000000000,0.0
1642809600000000000,0.0
1642896000000000000,0.0
1642982400000000000,0.0
1643068800000000000,0.0
1643155200000000000,0.0
1643241600000000000,0.0
1643328000000000000,0.0
1643414400000000000,0.0
1643500800000000000,0.0
1643587200000000000,0.0
1643673600000000000,0.0
1643760000000000000,0.0
1643846400000000000,0.0
1643932800000000000,0.0
1644019200000000000,0.0
1644105600000000000,0.0
1644192000000000000,0.0
1644278400000000000,0.0
1644364800000000000,0.0
1644451200000000000,0.0
1644537600000000000,0.0
1644624000000000000,0.0
1644710400000000000,0.0
1644796800000000000,0.0
1644883200000000000,0.0
1644969600000000000,0.0
1645056000000000000,0.0
1645142400000000000,0.0
1645228800000000000,0.0
1645315200000000000,0.0
1645401600000000000,0.0
1645488000000000000,0.0
1645574400000000000,0.0
1645660800000000000,0.0
1645747200000000000,0.0
1645833600000000000,0.0
1645920000000000000,0.0
1646006400000000000,0.0
1646092800000000000,0.0
1646179200000000000,0.0
1646265600000000000,15.0
1646352000000000000,0.0
1646438400000000000,0.0
1646524800000000000,0.0
1646611200000000000,0.0
1646697600000000000,0.0
1646784000000000000,0.0
1646870400000000000,0.0
1646956800000000000,0.0
1647043200000000000,9.0
1647129600000000000,0.0
1647216000000000000,0.0
1647302400000000000,0.0
1647388800000000000,0.06315789473684212
1647475200000000000,0.0
1647561600000000000,0.0
1647648000000000000,0.0
1647734400000000000,0.0
1647820800000000000,0.0
