ts,t_ext,h_ext,t_C_cal,h_C_cal,t_L_cal,h_L_cal
1652264989175000000,30.6,25.4,17.1,11.43,17.1,35.95
1652264690663000000,31.2,24.6,17.0,11.43,17.1,35.95
1652264381847000000,30.4,24.3,17.0,11.79,17.1,35.95
1652264078897000000,29.1,26.4,17.0,11.43,17.1,35.54
1652263775354000000,29.3,27.7,16.9,11.43,17.1,35.95
1652263472035000000,29.2,26.8,16.9,11.43,17.1,35.54
1652263168659000000,29.4,27.2,16.9,11.79,17.1,35.95
1652262865558000000,28.9,28.0,16.9,11.79,17.1,35.95
1652262561737000000,28.7,27.9,16.9,11.43,17.1,35.95
1652262258483000000,27.9,29.9,16.8,11.43,17.2,35.95
1652261954881000000,27.6,31.4,16.8,11.79,17.2,35.95
1652261651711000000,27.4,32.5,16.8,11.43,17.2,35.95
1652261348687000000,27.4,33.2,16.8,11.43,17.2,35.95
1652261045064000000,27.3,33.6,16.8,11.43,17.2,36.36
1652260742247000000,26.5,35.6,16.8,11.43,17.2,35.95
1652260439354000000,26.4,35.0,16.8,11.79,17.2,35.54
1652260135879000000,25.7,37.4,16.8,11.43,17.2,35.95
1652259833009000000,25.3,37.9,16.8,11.79,17.2,35.95
1652259529188000000,24.7,38.2,16.7,11.43,17.2,35.95
1652259226397000000,24.6,36.7,16.7,11.43,17.2,35.54
1652258922622000000,24.6,38.3,16.7,11.79,17.3,35.95
1652258620056000000,24.5,37.8,16.7,11.43,17.3,35.95
1652258316294000000,24.3,38.5,16.7,11.79,17.3,35.54
1652258013482000000,24.1,39.1,16.7,11.43,17.3,35.95
1652257710295000000,24.2,38.0,16.8,11.43,17.3,35.95
1652257407138000000,24.1,38.6,16.8,11.79,17.3,35.95
1652257104446000000,24.1,38.5,16.8,11.79,17.3,35.95
1652256800769000000,24.5,38.2,16.8,11.43,17.3,35.95
1652256497657000000,24.6,36.9,16.8,11.43,17.3,35.95
1652256194536000000,23.6,39.5,16.8,11.43,17.3,35.95
1652255890999000000,22.8,40.8,16.8,11.43,17.4,35.95
1652255587347000000,22.7,41.2,16.8,11.43,17.4,35.95
1652255284316000000,22.4,41.6,16.8,11.43,17.4,35.95
1652254981214000000,22.6,40.3,16.8,11.43,17.4,35.95
1652254677602000000,22.0,41.5,16.8,11.43,17.4,35.95
1652254374185000000,21.6,43.1,16.9,11.79,17.4,35.95
1652254070648000000,21.9,41.7,16.9,11.43,17.4,35.95
1652253767338000000,22.0,41.7,16.9,11.43,17.4,36.36
1652253463872000000,23.8,38.8,16.9,11.43,17.4,35.95
1652253160874000000,24.4,39.9,16.9,11.43,17.5,35.95
1652252857231000000,23.7,40.4,17.0,11.43,17.5,36.36
1652252553952000000,23.1,40.9,17.0,11.43,17.5,35.95
1652252250529000000,22.6,42.1,17.0,11.43,17.5,35.95
1652251947251000000,22.4,43.8,17.0,11.79,17.5,36.36
1652251644152000000,21.6,46.5,17.0,11.43,17.5,35.95
1652251340551000000,20.8,48.1,17.1,11.43,17.5,36.36
1652251037654000000,20.0,48.7,17.1,11.43,17.5,35.95
1652250734406000000,18.9,52.1,17.1,11.43,17.5,36.36
1652250431294000000,17.9,55.4,17.1,11.43,17.5,35.95
1652250128132000000,16.8,59.4,17.2,11.43,17.6,36.36
1652249824878000000,15.7,64.1,17.2,11.43,17.6,35.95
1652249521304000000,14.5,68.2,17.2,11.43,17.6,35.95
1652248610590000000,10.0,84.1,17.3,11.43,17.6,36.36
1652248307674000000,9.6,84.5,17.3,11.43,17.6,35.95
1652248004548000000,9.4,85.1,17.3,11.43,17.6,36.36
1652247701226000000,9.4,84.0,17.4,11.43,17.6,36.36
1652247397874000000,9.4,84.3,17.4,11.43,17.7,36.36
1652247094239000000,9.5,83.8,17.4,11.43,17.7,35.95
1652246791245000000,9.4,85.1,17.4,11.43,17.7,35.95
1652246488258000000,9.2,84.9,17.5,11.43,17.7,35.95
1652246185037000000,9.2,84.9,17.5,11.43,17.7,36.36
1652245882106000000,9.2,85.5,17.5,11.43,17.7,35.95
1652245578431000000,9.2,83.7,17.5,11.43,17.7,35.95
1652245275407000000,9.4,84.2,17.6,11.07,17.7,36.36
1652244971799000000,9.5,83.4,17.6,11.43,17.7,35.95
1652244667760000000,9.8,82.4,17.6,11.07,17.7,35.95
1652244061216000000,10.1,82.8,17.7,11.07,17.8,36.36
1652243758079000000,10.0,83.3,17.7,11.07,17.8,36.36
1652243454538000000,10.0,83.1,17.7,11.43,17.8,35.54
1652243151104000000,10.0,83.0,17.7,11.43,17.8,36.36
1652242848266000000,10.1,83.7,17.8,11.43,17.8,35.95
1652242544658000000,10.1,83.2,17.8,11.43,17.8,36.36
1652242241503000000,9.9,82.4,17.8,11.43,17.8,35.54
1652241937854000000,9.8,84.0,17.9,11.43,17.8,35.95
1652241634559000000,9.5,84.9,17.9,11.43,17.8,35.54
1652241331646000000,9.3,83.5,17.9,11.07,17.8,35.95
1652241028248000000,9.1,83.8,18.0,11.43,17.8,35.54
1652240725060000000,8.9,83.4,18.0,11.43,17.9,36.36
1652240422026000000,8.8,83.5,18.0,11.43,17.9,36.36
1652240118967000000,8.7,83.2,18.0,11.43,17.9,35.95
1652239512133000000,8.6,84.5,18.1,11.43,17.9,35.95
1652239208445000000,8.4,84.1,18.1,11.43,17.9,35.95
1652238904950000000,8.4,83.9,18.2,11.43,17.9,36.36
1652238601783000000,8.5,81.3,18.2,11.43,17.9,36.36
1652238298425000000,8.7,81.9,18.2,11.07,17.9,35.95
1652237995227000000,8.8,82.6,18.3,11.07,17.9,35.95
1652237691792000000,8.8,83.8,18.3,11.07,17.9,35.95
1652237388428000000,8.8,81.5,18.3,11.43,17.9,35.95
1652237085541000000,8.9,82.2,18.3,11.43,17.9,35.95
1652236782103000000,9.1,81.5,18.5,11.43,17.9,35.54
